stream,binsize,estimatedrate,measuredrate,binsizeindays,particlesperbin,estimatedvsingested,dataratenotes
pco2w_abc_dcl_instrument_blank_recovered,20160,,1,14,14,,Sample data 1 per day
pco2w_abc_dcl_instrument_recovered,20160,1,8,14,112,,Sample data 7-8 per day
pco2w_abc_dcl_metadata,20160,,3,14,42,,Sample data 1-3 per day
pco2w_abc_dcl_metadata_recovered,20160,,1,14,14,,Sample data 1 per day
pco2w_abc_dcl_power,20160,,24,14,336,,Sample data 1-24 per day
pco2w_abc_dcl_power_recovered,20160,,8,14,112,,Sample data 2-8 per day
pco2w_abc_imodem_control,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_imodem_control_recovered,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_imodem_instrument,20160,24,,14,336,Should these all be 20160?,No ingested data
pco2w_abc_imodem_instrument_blank,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_imodem_instrument_blank_recovered,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_imodem_instrument_recovered,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_imodem_metadata,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_imodem_metadata_recovered,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_imodem_power,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_imodem_power_recovered,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_instrument,20160,24,,14,336,Should these all be 20160?,No ingested data
pco2w_abc_instrument_blank,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_metadata,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_abc_power,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_b_battery_voltage,20160,2,,14,28,Should these all be 20160?,No ingested data
pco2w_b_configuration,20160,2,,14,28,Should these all be 20160?,No ingested data
pco2w_b_control_record,1440,,,1,0,Should these all be 20160?,No ingested data
pco2w_b_dev1_data_record,20160,24,20,14,336,,Sample data 14-20 per day
