scenario,id,confluence,name,parameterids,temporalparameter,streamdependency,streamtype,streamcontent,reviewstatus
FDCHP_A,DICT665,,fdchp_a_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2612,PD3465,PD3466,PD3467,PD3468,PD3469,PD3470,PD3471,PD3472,PD3473,PD3474,PD3838,PD3839,PD3840,PD3475,PD3476,PD3477,PD3478,PD3479,PD3480,PD3481,PD3482,PD3716,PD3717,PD3718,PD3719,PD3720,PD3721,PD3722,PD3723,PD3724",PD7,,Science,Data Products,
AUV_ENG,DICT666,,auv_eng_auv_imagenex_852,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3491,PD3614,PD3493,PD1234,PD3494,PD3495,PD3496,PD3497,PD3498,PD3499,PD3500,PD3501,PD3502,PD3503,PD3504,PD3505",PD7,,Engineering,Echosounder Data Products,
AUV_ENG,DICT667,,auv_eng_auv_imagenex_852_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3491,PD3614,PD3493,PD1234,PD3494,PD3495,PD3496,PD3497,PD3498,PD3499,PD3500,PD3501,PD3502,PD3503,PD3504,PD3505",PD7,,Engineering,Echosounder Data Products,
AUV_ENG,DICT668,,auv_eng_auv_digital_usbl,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3506,PD3507,PD3508,PD3509,PD3510,PD3511,PD3512,PD3513,PD3514,PD3515,PD3516,PD3517,PD3518,PD3519,PD3520,PD3521,PD3522,PD3523,PD3431",PD7,,Engineering,Digital Data,
AUV_ENG,DICT669,,auv_eng_auv_digital_usbl_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3506,PD3507,PD3508,PD3509,PD3510,PD3511,PD3512,PD3513,PD3514,PD3515,PD3516,PD3517,PD3518,PD3519,PD3520,PD3521,PD3522,PD3523,PD3431",PD7,,Engineering,Digital Data,
AUV_ENG,DICT670,,auv_eng_auv_tri_fin_motor,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3524,PD3525,PD3526,PD3527,PD3528,PD3529,PD3530,PD3531,PD3532,PD3533,PD3534,PD3535,PD3536,PD3537,PD3538,PD3539,PD3540,PD3541,PD3542,PD3543,PD3544,PD3545,PD3546",PD7,,Engineering,Motor Data,
AUV_ENG,DICT671,,auv_eng_auv_tri_fin_motor_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3524,PD3525,PD3526,PD3527,PD3528,PD3529,PD3530,PD3531,PD3532,PD3533,PD3534,PD3535,PD3536,PD3537,PD3538,PD3539,PD3540,PD3541,PD3542,PD3543,PD3544,PD3545,PD3546",PD7,,Engineering,Motor Data,
AUV_ENG,DICT672,,auv_eng_auv_emergency_board,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3547,PD3548,PD3549,PD3550,PD3551,PD3552,PD3553,PD3554,PD3555",PD7,,Engineering,Emergency Board Data,
AUV_ENG,DICT673,,auv_eng_auv_emergency_board_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3547,PD3548,PD3549,PD3550,PD3551,PD3552,PD3553,PD3554,PD3555",PD7,,Engineering,Emergency Board Data,
AUV_ENG,DICT674,,auv_eng_auv_oil_compensator,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD1276,PD3556,PD3557,PD3431,PD3558",PD7,,Engineering,Oil Compensator Data,
AUV_ENG,DICT675,,auv_eng_auv_oil_compensator_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD1276,PD3556,PD3557,PD3431,PD3558",PD7,,Engineering,Oil Compensator Data,
AUV_ENG,DICT676,,auv_eng_auv_smart_battery,"PD7,PD10,PD11,PD12,PD16,PD863,PD3559,PD3560,PD3561,PD3562,PD3563,PD3564,PD3565,PD3566,PD3567,PD3568,PD3569,PD3570,PD3571,PD3572,PD3573,PD3430,PD3574,PD3575,PD3576,PD3577,PD3578,PD3579,PD3580,PD3581,PD3582,PD3583,PD3584,PD3585,PD3586,PD3587,PD3588,PD8098",PD7,,Engineering,Smart Battery Data,
AUV_ENG,DICT677,,auv_eng_auv_smart_battery_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3559,PD3560,PD3561,PD3562,PD3563,PD3564,PD3565,PD3566,PD3567,PD3568,PD3569,PD3570,PD3571,PD3572,PD3573,PD3430,PD3574,PD3575,PD3576,PD3577,PD3578,PD3579,PD3580,PD3581,PD3582,PD3583,PD3584,PD3585,PD3586,PD3587,PD3588,PD8098",PD7,,Engineering,Smart Battery Data,
